Nom complet,Adresse,Email,Téléphone,Nationalité,Métier,Années d’expérience,Formation,Institution,Compétences,Certificats,Langues parlées,Hobbies,Expériences,Références,Langue du CV,Format,Template
Abshir Haroun Deria Hersi,"Cité Arhiba, Djibouti",abshir.deriahersi@example.com,25377427402,Djibouti,Juge,14,Master en Juge,Lycée d’État de Djibouti,"Éthique, Communication, Analyse, Prise de décision","AWS Certified Solutions Architect (Institut de Formation Professionnelle), CFA Level 1 (Université de Djibouti)","Français (Courant), Somali (Intermédiaire)","Football, Voyage","['Juge Junior chez Port de Djibouti (2023-2025): Analyse, Interprétation des lois', 'Juge Senior chez Hôpital Général Peltier (2020-2023): Éthique, Interprétation des lois', 'Juge Senior chez Ministère de l’Éducation (2018-2020): Interprétation des lois, Prise de décision, Analyse, Éthique, Communication', 'Juge chez Fleury Ferrand S.A.R.L. (2016-2018): Communication, Éthique, Interprétation des lois, Analyse', 'Juge Senior chez Banque de Djibouti (2011-2016): Éthique, Interprétation des lois, Prise de décision, Communication, Analyse']","['Thomas Auger, Manager, thomas.auger']",Français,pdf,modern
Safia Deria Tahlil Warsame,"Quartier Ambouli, Djibouti",safia.tahlilwarsame@example.com,25377614012,Djibouti,Procureur,17,Baccalauréat,Université de Djibouti,"Analyse juridique, Éthique, Poursuite, Communication","First Aid Certification (Institut de Formation Professionnelle), TOEFL (Centre de Formation Technique de Balbala)","Arabe (Intermédiaire), Français (Courant)","Cuisine, Musique, Football","['Procureur chez Jacquet Jacques et Fils (2020-2025): Plaidoyer, Éthique, Communication', 'Procureur Junior chez Électricité de Djibouti (2018-2020): Éthique, Plaidoyer, Analyse juridique', 'Procureur Senior chez Leroy Bourgeois S.A.S. (2016-2018): Poursuite, Analyse juridique', 'Procureur Senior chez Banque de Djibouti (2015-2016): Communication, Analyse juridique', 'Procureur Senior chez Breton (2010-2015): Analyse juridique, Communication', 'Procureur Junior chez Hôpital Général Peltier (2009-2010): Poursuite, Plaidoyer, Communication']","['Franck Dijoux, Superviseur, franck.dijoux', 'Scott Morrow, Manager, scott.morrow']",Français,pdf,modern
Ali Romano,"561 Walsh Wall
Lake Stanleyside, RI 46746",ali.romano@example.com,25377600426,Other,Greffier,0,BTS en Greffier,Lycée d’État de Djibouti,"Gestion des dossiers, Organisation, Rédaction, Communication, Connaissance juridique","Coursera Machine Learning (Université de Djibouti), TOEFL (Centre de Formation Technique de Balbala)",Français (Courant),"Cuisine, Voyage, Musique, Lecture",[],"['Miss Teresa Russell, Manager, miss.teresa.russell']",Français,pdf,compact
Farhan Barkhad Saïd Abshir,"Avenue Gabode, Djibouti",farhan.saïdabshir@example.com,25377141128,Djibouti,Planificateur,11,BTS en Planificateur,Université de Djibouti,"Analyse, Gestion de projets, Planification, Coordination","CFA Level 1 (Institut de Formation Professionnelle), Cisco CCNA (Centre de Formation Technique de Balbala)","Arabe (Débutant), Somali (Débutant)","Cuisine, Lecture","['Planificateur Senior chez Ministère de l’Éducation (2020-2025): Communication, Gestion de projets, Analyse, Coordination', 'Planificateur Senior chez Raynaud (2016-2020): Communication, Gestion de projets, Coordination, Planification, Analyse', 'Planificateur Senior chez Baron Lacombe SA (2014-2016): Coordination, Gestion de projets, Communication, Planification']","['Honoré-René Leroy, Superviseur, honoré-rené.leroy']",Français,pdf,compact
Tahlil Safia Houssein Hassan,"Rue de Balbala, Djibouti",tahlil.housseinhassan@example.com,25377392659,Djibouti,Gestionnaire de projet,8,Master en Gestionnaire de projet,Lycée d’État de Djibouti,"Budgétisation, Communication, Coordination, Résolution de problèmes","Cisco CCNA (Centre de Formation Technique de Balbala), First Aid Certification (Institut de Formation Professionnelle), CAPES (Université de Djibouti)","Arabe (Intermédiaire), Français (Débutant)","Cuisine, Football","['Gestionnaire de projet chez Ministère de l’Éducation (2023-2025): Budgétisation, Résolution de problèmes, Planification', 'Gestionnaire de projet Junior chez Ministère de l’Éducation (2018-2023): Coordination, Planification, Budgétisation, Résolution de problèmes, Communication', 'Gestionnaire de projet Junior chez Bruneau Benoit SARL (2017-2018): Coordination, Budgétisation, Résolution de problèmes']","['Richard Smith, Manager, richard.smith']",Anglais,pdf,modern
Muse Lubna Aweis Tahlil,"Boulevard de la République, Djibouti",muse.aweistahlil@example.com,25377337603,Djibouti,Scrum master,17,Baccalauréat,Institut de Formation Professionnelle,"Résolution de conflits, Coordination, Facilitation, Agilité, Communication",Microsoft Certified: Azure Fundamentals (Université de Djibouti),"Arabe (Intermédiaire), Français (Intermédiaire), Afar (Intermédiaire)","Football, Photographie","['Scrum master chez Djibouti Telecom (2022-2025): Résolution de conflits, Facilitation, Coordination', 'Scrum master chez Port de Djibouti (2021-2022): Agilité, Résolution de conflits, Coordination', 'Scrum master Junior chez Maillard S.A. (2020-2021): Résolution de conflits, Agilité, Coordination, Facilitation', 'Scrum master Junior chez Thibault (2016-2020): Coordination, Résolution de conflits, Agilité, Communication, Facilitation', 'Scrum master Junior chez Aéroport International de Djibouti (2014-2016): Coordination, Communication, Facilitation, Résolution de conflits, Agilité']","['Claudine-Julie Langlois, Collègue, claudine-julie.langlois']",Français,pdf,classic
Hawa Aliyow Aweis Tahlil,"Cité Arhiba, Djibouti",hawa.aweistahlil@example.com,25377806227,Djibouti,Product owner,0,BTS en Product owner,Institut de Formation Professionnelle,"Communication, Agilité, Priorisation, Analyse des besoins",CFA Level 1 (École Nationale de Commerce),"Arabe (Débutant), Anglais (Intermédiaire)","Photographie, Voyage, Cuisine, Lecture",[],"['Nicole Carpentier-Faivre, Superviseur, nicole.carpentier-faivre']",Français,pdf,modern
Ibrahim Sucaad Abdirahman Barkhad,"Cité Arhiba, Djibouti",ibrahim.abdirahmanbarkhad@example.com,25377634557,Djibouti,UX designer,10,Baccalauréat,Lycée d’État de Djibouti,"Prototypage, Design d'interface, Tests d'utilisabilité, Communication",Microsoft Certified: Azure Fundamentals (Institut de Formation Professionnelle),"Arabe (Courant), Somali (Débutant)","Voyage, Cuisine, Photographie, Lecture","[""UX designer Junior chez Aubry (2024-2025): Design d'interface, Tests d'utilisabilité, Recherche utilisateur"", 'UX designer Junior chez Ministère de l’Éducation (2023-2024): Recherche utilisateur, Communication', 'UX designer Senior chez Banque de Djibouti (2022-2023): Recherche utilisateur, Prototypage', ""UX designer chez Gilbert S.A.R.L. (2020-2022): Recherche utilisateur, Design d'interface""]","['Laetitia Guillon, Manager, laetitia.guillon']",Français,pdf,modern
Tesfaye Teshome,"00807 Johnson Points Suite 696
Lake Michaelberg, GU 20922",tesfaye.teshome@example.com,25377694090,Ethiopian,UI designer,16,Licence en UI designer,École Nationale de Commerce,"Graphisme, Outils (Figma), Design d'interface, Créativité, Prototypage",IELTS (Centre de Formation Technique de Balbala),Français (Courant),"Cuisine, Voyage, Lecture, Football","[""UI designer Senior chez Électricité de Djibouti (2023-2025): Design d'interface, Graphisme"", ""UI designer chez Hôpital Général Peltier (2019-2023): Prototypage, Design d'interface"", ""UI designer chez Lefort (2017-2019): Graphisme, Outils (Figma), Design d'interface, Prototypage"", ""UI designer Senior chez Marie S.A.S. (2015-2017): Outils (Figma), Graphisme, Créativité, Design d'interface, Prototypage"", ""UI designer Junior chez Djibouti Telecom (2014-2015): Design d'interface, Prototypage, Créativité, Graphisme"", ""UI designer Senior chez Banque de Djibouti (2012-2014): Prototypage, Design d'interface, Outils (Figma)""]","['Gilles Lemaire, Superviseur, gilles.lemaire', 'Maggie Regnier, Superviseur, maggie.regnier']",Français,pdf,modern
Saida Zamzam Abdourahman Walid,"Boulevard de la République, Djibouti",saida.abdourahmanwalid@example.com,25377757684,Djibouti,Développeur mobile,20,Licence en Développeur mobile,École Nationale de Commerce,"Tests, Git, Programmation (Swift, Kotlin), Conception d'applications","CompTIA Security+ (Institut de Formation Professionnelle), PMP (Institut de Formation Professionnelle)","Arabe (Débutant), Français (Courant)","Football, Lecture, Musique, Photographie","[""Développeur mobile Junior chez Banque de Djibouti (2024-2025): Tests, Conception d'applications, API, Programmation (Swift, Kotlin)"", ""Développeur mobile Junior chez Aéroport International de Djibouti (2021-2024): Conception d'applications, Tests, Git"", ""Développeur mobile Senior chez Aéroport International de Djibouti (2017-2021): Conception d'applications, Tests, Git, API, Programmation (Swift, Kotlin)"", 'Développeur mobile Senior chez Joseph (2014-2017): Programmation (Swift, Kotlin), Tests', 'Développeur mobile chez Lemonnier S.A.R.L. (2012-2014): Tests, Git, API']","['Laurence Merle, Manager, laurence.merle']",Français,pdf,modern
Karim Ivanov,"410 Amanda Hollow Apt. 141
Williammouth, OR 84700",karim.ivanov@example.com,25377694796,Other,Développeur backend,12,Master en Développeur backend,Lycée d’État de Djibouti,"Git, Sécurité, Programmation (Python, Java), API, Bases de données","AWS Certified Solutions Architect (Centre de Formation Technique de Balbala), Google Data Analytics (Institut de Formation Professionnelle)",Français (Courant),"Football, Photographie, Voyage","['Développeur backend chez Banque de Djibouti (2021-2025): Sécurité, API, Programmation (Python, Java), Git', 'Développeur backend Junior chez Hôpital Général Peltier (2017-2021): Programmation (Python, Java), Bases de données, API', 'Développeur backend chez Hôpital Général Peltier (2015-2017): Sécurité, Bases de données', 'Développeur backend Senior chez Briand (2014-2015): Bases de données, Git, Sécurité, API']","['Henri Lefort, Superviseur, henri.lefort']",Anglais,pdf,classic
Asma Souad Mahad Saïd,"Cité Arhiba, Djibouti",asma.mahadsaïd@example.com,25377206491,Djibouti,Développeur frontend,11,Doctorat en {job},Centre de Formation Technique de Balbala,"Git, JavaScript, HTML/CSS, Frameworks (React)","CompTIA Security+ (Lycée d’État de Djibouti), Google Data Analytics (Institut de Formation Professionnelle)","Arabe (Courant), Somali (Débutant), Anglais (Intermédiaire)","Football, Cuisine","['Développeur frontend Junior chez Électricité de Djibouti (2024-2025): Git, Responsive design, HTML/CSS', 'Développeur frontend Senior chez Vallet (2019-2024): Responsive design, Git, Frameworks (React), JavaScript', 'Développeur frontend Junior chez Banque de Djibouti (2014-2019): Responsive design, Frameworks (React), JavaScript, Git']","['Cassandra Walker, Collègue, cassandra.walker']",Français,pdf,modern
Saynab Asma Djamal Barkat,"Quartier Ambouli, Djibouti",saynab.djamalbarkat@example.com,25377841148,Djibouti,Administrateur système,19,Diplôme professionnel,Université de Djibouti,"Réseaux, Maintenance, Gestion de serveurs, Sécurité",First Aid Certification (École Nationale de Commerce),"Arabe (Courant), Français (Courant), Somali (Courant)","Voyage, Cuisine, Lecture, Photographie","['Administrateur système Senior chez Hôpital Général Peltier (2020-2025): Maintenance, Scripting, Sécurité', 'Administrateur système Senior chez Banque de Djibouti (2016-2020): Sécurité, Maintenance, Gestion de serveurs, Réseaux, Scripting', 'Administrateur système Senior chez Banque de Djibouti (2014-2016): Maintenance, Scripting, Sécurité', 'Administrateur système Senior chez Aéroport International de Djibouti (2012-2014): Sécurité, Gestion de serveurs, Maintenance', 'Administrateur système Junior chez Électricité de Djibouti (2008-2012): Maintenance, Gestion de serveurs, Sécurité, Réseaux, Scripting', 'Administrateur système chez Djibouti Telecom (2006-2008): Réseaux, Maintenance']","['Jeanne Michaud, Manager, jeanne.michaud', 'Simone Didier, Manager, simone.didier']",Français,pdf,classic
Nasteexo Wais Awaleh Barkat,"Boulevard de la République, Djibouti",nasteexo.awalehbarkat@example.com,25377396308,Djibouti,Administrateur réseau,6,BTS en Administrateur réseau,Lycée d’État de Djibouti,"Monitoring, Sécurité, Dépannage, Configuration réseau","CompTIA Security+ (Centre de Formation Technique de Balbala), First Aid Certification (Lycée d’État de Djibouti)","Arabe (Intermédiaire), Français (Courant)","Cuisine, Football","['Administrateur réseau Senior chez Gay SARL (2024-2025): Monitoring, Configuration réseau', 'Administrateur réseau Senior chez Hôpital Général Peltier (2019-2024): Protocoles, Sécurité, Configuration réseau, Monitoring']","['Timothée Rodriguez Le Jacob, Manager, timothée.rodriguez.le.jacob']",Français,pdf,classic
Sucaad Houssein Abdirahman Barkhad,"Boulevard de la République, Djibouti",sucaad.abdirahmanbarkhad@example.com,25377338943,Djibouti,Spécialiste cybersécurité,20,Baccalauréat,Lycée d’État de Djibouti,"Sécurité réseau, Analyse des menaces, Cryptographie, Pentesting","AWS Certified Solutions Architect (Centre de Formation Technique de Balbala), CAPES (Institut de Formation Professionnelle)","Somali (Courant), Afar (Courant), Anglais (Débutant)","Football, Lecture","['Spécialiste cybersécurité Junior chez Fleury (2021-2025): Pentesting, Cryptographie', 'Spécialiste cybersécurité chez Hervé Aubert SA (2016-2021): Rapport, Cryptographie, Analyse des menaces', 'Spécialiste cybersécurité Senior chez Électricité de Djibouti (2014-2016): Rapport, Sécurité réseau', 'Spécialiste cybersécurité Senior chez Sanchez Fleury S.A. (2009-2014): Cryptographie, Sécurité réseau, Rapport, Pentesting, Analyse des menaces', 'Spécialiste cybersécurité Senior chez Fernandes Delahaye S.A. (2005-2009): Pentesting, Sécurité réseau, Rapport, Cryptographie']","['Thomas-Jacques Vidal, Superviseur, thomas-jacques.vidal']",Français,pdf,classic
Ayub Sucaad Abdirahman Barkhad,"Rue de Balbala, Djibouti",ayub.abdirahmanbarkhad@example.com,25377825015,Djibouti,Testeur QA,18,BTS en Testeur QA,École Nationale de Commerce,"Communication, Rédaction de cas de test, Tests automatisés, Bug tracking","PMP (Institut de Formation Professionnelle), Cisco CCNA (Centre de Formation Technique de Balbala)","Arabe (Courant), Français (Courant)","Lecture, Musique, Cuisine","['Testeur QA Senior chez Denis SARL (2020-2025): Tests automatisés, Tests fonctionnels, Rédaction de cas de test, Bug tracking', 'Testeur QA chez Girard SA (2017-2020): Tests fonctionnels, Rédaction de cas de test, Tests automatisés, Bug tracking', 'Testeur QA Junior chez Électricité de Djibouti (2013-2017): Tests fonctionnels, Rédaction de cas de test', 'Testeur QA Senior chez Électricité de Djibouti (2011-2013): Communication, Bug tracking, Rédaction de cas de test, Tests automatisés', 'Testeur QA Junior chez Port de Djibouti (2010-2011): Rédaction de cas de test, Bug tracking, Tests automatisés, Tests fonctionnels', 'Testeur QA Senior chez Vaillant (2007-2010): Tests fonctionnels, Communication']","['Martin Le Da Silva, Superviseur, martin.le.da.silva']",Français,pdf,compact
Farhia Samia Awaleh Saidou,"Boulevard de la République, Djibouti",farhia.awalehsaidou@example.com,25377816637,Djibouti,Technicien support,1,Master en Technicien support,Université de Djibouti,"Support utilisateur, Documentation, Dépannage, Communication","CFA Level 1 (Université de Djibouti), CAPES (Institut de Formation Professionnelle)","Arabe (Débutant), Somali (Courant), Afar (Débutant)","Photographie, Football","['Technicien support Junior chez Perrot (2024-2025): Documentation, Connaissance IT, Communication, Dépannage, Support utilisateur']","['Alex Peltier-Godard, Manager, alex.peltier-godard']",Français,pdf,compact
Sharmarke Hani Walid Nour,"Avenue Gabode, Djibouti",sharmarke.walidnour@example.com,25377281610,Djibouti,Community manager,18,Master en Community manager,Lycée d’État de Djibouti,"Communication, Engagement, Création de contenu, Analyse","TOEFL (Centre de Formation Technique de Balbala), First Aid Certification (École Nationale de Commerce)","Arabe (Courant), Somali (Débutant)","Photographie, Football, Voyage, Lecture","['Community manager Senior chez Ministère de l’Éducation (2023-2025): Analyse, Création de contenu, Gestion des réseaux sociaux', 'Community manager Senior chez Turpin (2019-2023): Analyse, Création de contenu', 'Community manager Senior chez Aéroport International de Djibouti (2014-2019): Création de contenu, Engagement, Gestion des réseaux sociaux, Communication, Analyse', 'Community manager chez Port de Djibouti (2013-2014): Engagement, Communication, Gestion des réseaux sociaux']","['Ricardo Gonzalez, Manager, ricardo.gonzalez']",Français,pdf,classic
Ifrah Saidou Barre Awaleh,"Quartier Ambouli, Djibouti",ifrah.barreawaleh@example.com,25377239607,Djibouti,Responsable communication,8,Master en Responsable communication,Lycée d’État de Djibouti,"Relations publiques, Rédaction, Coordination, Stratégie de communication, Gestion de crise",CompTIA Security+ (Centre de Formation Technique de Balbala),"Arabe (Courant), Somali (Intermédiaire)","Photographie, Voyage, Cuisine","['Responsable communication Junior chez Hôpital Général Peltier (2021-2025): Stratégie de communication, Relations publiques', 'Responsable communication Junior chez Électricité de Djibouti (2017-2021): Gestion de crise, Coordination, Stratégie de communication, Rédaction, Relations publiques']","['Bernard Hamon, Manager, bernard.hamon']",Français,pdf,compact
Anisa Bileh Dawoud Robleh,"Boulevard de la République, Djibouti",anisa.dawoudrobleh@example.com,25377672113,Djibouti,Publicitaire,12,Master en Publicitaire,Université de Djibouti,"Communication, Analyse de marché, Gestion de projets, Créativité, Conception de campagnes","Google Data Analytics (École Nationale de Commerce), CompTIA Security+ (École Nationale de Commerce)","Somali (Débutant), Afar (Courant)","Photographie, Cuisine, Musique","['Publicitaire chez Port de Djibouti (2022-2025): Gestion de projets, Conception de campagnes, Analyse de marché', 'Publicitaire Senior chez Électricité de Djibouti (2020-2022): Conception de campagnes, Communication, Créativité, Analyse de marché, Gestion de projets', 'Publicitaire chez Pages Joseph S.A. (2017-2020): Analyse de marché, Gestion de projets']","['Martine Hamon, Manager, martine.hamon']",Français,pdf,compact
Asha Munira Robleh Wais,"Quartier Ambouli, Djibouti",asha.roblehwais@example.com,25377612787,Djibouti,Organisateur d'événements,10,Master en Organisateur d'événements,Lycée d’État de Djibouti,"Négociation, Communication, Budgétisation, Planification",TOEFL (Institut de Formation Professionnelle),"Français (Intermédiaire), Somali (Intermédiaire)","Voyage, Musique, Lecture, Football","[""Organisateur d'événements Junior chez Allain (2023-2025): Coordination, Communication, Budgétisation, Négociation, Planification"", ""Organisateur d'événements chez Jacob (2020-2023): Planification, Négociation""]","['Laurie Turner, Manager, laurie.turner']",Français,pdf,compact
Salma Bileh Jamal Saidou,"Quartier Ambouli, Djibouti",salma.jamalsaidou@example.com,25377699815,Djibouti,Organisateur de mariage,2,Doctorat en {job},Institut de Formation Professionnelle,"Coordination, Budgétisation, Communication client, Planification, Créativité","Coursera Machine Learning (Institut de Formation Professionnelle), PMP (Institut de Formation Professionnelle), TOEFL (Institut de Formation Professionnelle)","Somali (Intermédiaire), Anglais (Intermédiaire)","Photographie, Lecture, Voyage, Cuisine","['Organisateur de mariage Junior chez Bouvet S.A.R.L. (2023-2025): Coordination, Créativité']","['Nathalie Blot, Superviseur, nathalie.blot', 'Virginie Fernandez, Collègue, virginie.fernandez']",Français,pdf,modern
Ifra Sahra Abdi Sharmarke,"Cité Arhiba, Djibouti",ifra.abdisharmarke@example.com,25377750605,Djibouti,DJ,17,Doctorat en {job},Université de Djibouti,"Équipements audio, Animation, Créativité, Connaissance musicale","AWS Certified Solutions Architect (Université de Djibouti), PMP (Institut de Formation Professionnelle), Scrum Master (Centre de Formation Technique de Balbala)","Français (Intermédiaire), Somali (Courant)","Football, Voyage, Photographie","['DJ chez Banque de Djibouti (2023-2025): Équipements audio, Connaissance musicale, Créativité', 'DJ Junior chez Boyer (2022-2023): Mixage, Équipements audio, Connaissance musicale, Créativité, Animation', 'DJ Junior chez Aéroport International de Djibouti (2021-2022): Équipements audio, Connaissance musicale, Animation, Créativité, Mixage', 'DJ Junior chez Ministère de l’Éducation (2019-2021): Créativité, Équipements audio, Connaissance musicale, Mixage, Animation', 'DJ Senior chez Aéroport International de Djibouti (2015-2019): Animation, Mixage', 'DJ Senior chez Électricité de Djibouti (2012-2015): Animation, Connaissance musicale']","['Samantha Edwards, Superviseur, samantha.edwards']",Français,pdf,classic
Samatar Ikram Ayub Farah,"Cité Arhiba, Djibouti",samatar.ayubfarah@example.com,25377878357,Djibouti,Musicien,16,Diplôme professionnel,Lycée d’État de Djibouti,"Composition, Créativité, Pratique d'instruments, Connaissance musicale","IELTS (École Nationale de Commerce), Scrum Master (École Nationale de Commerce), Coursera Machine Learning (Institut de Formation Professionnelle)","Arabe (Intermédiaire), Français (Intermédiaire)","Voyage, Photographie","[""Musicien Junior chez Dubois (2022-2025): Pratique d'instruments, Interprétation, Créativité, Composition"", ""Musicien chez Djibouti Telecom (2019-2022): Créativité, Pratique d'instruments, Composition, Connaissance musicale, Interprétation"", ""Musicien chez Le Gall Chartier SARL (2017-2019): Pratique d'instruments, Composition, Connaissance musicale, Interprétation, Créativité"", 'Musicien chez Riou Le Gall S.A.S. (2014-2017): Interprétation, Créativité, Connaissance musicale', ""Musicien Junior chez Port de Djibouti (2010-2014): Interprétation, Créativité, Composition, Connaissance musicale, Pratique d'instruments"", ""Musicien Senior chez Ministère de l’Éducation (2009-2010): Composition, Pratique d'instruments, Créativité""]","['Nath Gomes-Pons, Superviseur, nath.gomes-pons']",Français,pdf,compact
Farah Mahamoud Abdallah Madar,"Boulevard de la République, Djibouti",farah.abdallahmadar@example.com,25377892170,Djibouti,Chanteur,3,Doctorat en {job},Lycée d’État de Djibouti,"Interprétation, Connaissance musicale, Chant, Scène, Créativité",CFA Level 1 (École Nationale de Commerce),"Arabe (Débutant), Français (Intermédiaire)","Lecture, Football, Photographie","['Chanteur chez Djibouti Telecom (2023-2025): Chant, Scène']","['Xavier Soto, Manager, xavier.soto', 'Stéphane Reynaud, Superviseur, stéphane.reynaud']",Français,pdf,modern
Djamal Nura Mahdi Robleh,"Quartier Ambouli, Djibouti",djamal.mahdirobleh@example.com,25377682487,Djibouti,Acteur,4,Licence en Acteur,Centre de Formation Technique de Balbala,"Expression, Improvisation, Travail d'équipe, Mémorisation, Interprétation","AWS Certified Solutions Architect (Lycée d’État de Djibouti), IELTS (Centre de Formation Technique de Balbala), PMP (Institut de Formation Professionnelle)","Arabe (Intermédiaire), Français (Débutant)","Football, Voyage, Musique","['Acteur Senior chez Banque de Djibouti (2023-2025): Improvisation, Interprétation, Expression']","['Frédéric Marchand, Manager, frédéric.marchand', 'Franck Jacquet, Superviseur, franck.jacquet']",Français,pdf,modern
Batula Layla Deria Robleh,"Boulevard de la République, Djibouti",batula.deriarobleh@example.com,25377310237,Djibouti,Réalisateur,5,Master en Réalisateur,Institut de Formation Professionnelle,"Scénario, Créativité, Direction d'acteurs, Mise en scène","CompTIA Security+ (École Nationale de Commerce), TOEFL (Lycée d’État de Djibouti), IELTS (Institut de Formation Professionnelle)","Arabe (Courant), Français (Débutant)","Lecture, Cuisine, Voyage, Musique","['Réalisateur chez Hervé (2020-2025): Scénario, Mise en scène']","['Roland Gautier, Manager, roland.gautier']",Français,pdf,classic
Walid Hodan Robleh Wais,"Cité Arhiba, Djibouti",walid.roblehwais@example.com,25377278222,Djibouti,Scénariste,19,Baccalauréat,Lycée d’État de Djibouti,"Structure narrative, Créativité, Développement de personnages, Écriture","TOEFL (Université de Djibouti), AWS Certified Solutions Architect (Université de Djibouti), Coursera Machine Learning (Centre de Formation Technique de Balbala)","Arabe (Débutant), Français (Intermédiaire), Somali (Intermédiaire)","Musique, Lecture","['Scénariste Senior chez Pires SA (2021-2025): Développement de personnages, Créativité, Recherche, Écriture, Structure narrative', 'Scénariste chez Électricité de Djibouti (2019-2021): Développement de personnages, Recherche, Créativité, Structure narrative, Écriture', 'Scénariste chez Bonneau Blin SA (2014-2019): Développement de personnages, Recherche, Écriture, Structure narrative', 'Scénariste Junior chez Guillon S.A.R.L. (2012-2014): Recherche, Structure narrative', 'Scénariste chez Coste SA (2008-2012): Structure narrative, Recherche, Créativité, Écriture, Développement de personnages']","['Gilbert Martinez, Superviseur, gilbert.martinez']",Français,pdf,modern
Ifra Layla Kalif Dawoud,"Cité Arhiba, Djibouti",ifra.kalifdawoud@example.com,25377428722,Djibouti,Producteur,6,Baccalauréat,Université de Djibouti,"Communication, Coordination, Gestion de projets, Négociation","Coursera Machine Learning (Institut de Formation Professionnelle), PMP (Université de Djibouti), TOEFL (Université de Djibouti)","Arabe (Intermédiaire), Français (Intermédiaire), Somali (Débutant), Anglais (Courant)","Lecture, Cuisine, Musique","['Producteur chez Port de Djibouti (2022-2025): Financement, Communication', 'Producteur Junior chez Dupuis (2020-2022): Coordination, Négociation, Communication, Financement']","['Johnny Higgins, Manager, johnny.higgins', 'Nath Meyer de la Neveu, Superviseur, nath.meyer.de.la.neveu']",Français,pdf,classic
Brian Gebre,"710 Derrick Flat
Lake Christine, KY 51639",brian.gebre@example.com,25377614485,English,Costumier,2,Baccalauréat,École Nationale de Commerce,"Recherche historique, Conception de costumes, Couture, Communication, Créativité",CFA Level 1 (Institut de Formation Professionnelle),Anglais (Intermédiaire),"Photographie, Football, Voyage","['Costumier chez Djibouti Telecom (2023-2025): Recherche historique, Créativité, Couture, Conception de costumes']","['Luc Hamon, Superviseur, luc.hamon', 'Marie Fischer, Manager, marie.fischer']",Français,pdf,compact
Arthur Gallo,"rue Margaret Martineau
21799 Dumontboeuf",arthur.gallo@example.com,25377643607,French,Maquilleur,18,Baccalauréat,Université de Djibouti,"Connaissance des produits, Créativité, Maquillage, Effets spéciaux, Précision","Scrum Master (École Nationale de Commerce), CFA Level 1 (Institut de Formation Professionnelle), AWS Certified Solutions Architect (Institut de Formation Professionnelle)",Français (Courant),"Football, Photographie, Musique, Cuisine","['Maquilleur Junior chez Tessier Reynaud SARL (2023-2025): Créativité, Précision, Connaissance des produits, Maquillage, Effets spéciaux', 'Maquilleur Senior chez Bourdon (2020-2023): Créativité, Effets spéciaux, Maquillage, Connaissance des produits, Précision', 'Maquilleur chez Djibouti Telecom (2017-2020): Précision, Créativité, Connaissance des produits', 'Maquilleur Senior chez Aéroport International de Djibouti (2013-2017): Connaissance des produits, Effets spéciaux, Précision', 'Maquilleur Senior chez Aéroport International de Djibouti (2008-2013): Précision, Maquillage, Créativité, Connaissance des produits', 'Maquilleur Junior chez Électricité de Djibouti (2007-2008): Connaissance des produits, Effets spéciaux, Maquillage, Précision, Créativité']","['Donald Gilbert, Manager, donald.gilbert', 'Gérard Valette, Collègue, gérard.valette']",Français,pdf,classic
Khadija Haroun Deria Robleh,"Quartier Ambouli, Djibouti",khadija.deriarobleh@example.com,25377226496,Djibouti,Décorateur,9,Master en Décorateur,École Nationale de Commerce,"Conception de décors, Communication, Aménagement, Budgétisation, Créativité","AWS Certified Solutions Architect (Centre de Formation Technique de Balbala), TOEFL (Lycée d’État de Djibouti), Microsoft Certified: Azure Fundamentals (Université de Djibouti)","Arabe (Intermédiaire), Français (Intermédiaire)","Lecture, Musique","['Décorateur chez Électricité de Djibouti (2022-2025): Communication, Conception de décors', 'Décorateur chez Ministère de l’Éducation (2018-2022): Aménagement, Budgétisation', 'Décorateur chez Djibouti Telecom (2017-2018): Conception de décors, Budgétisation, Créativité, Aménagement']","['Erika Powell, Manager, erika.powell']",Français,pdf,classic
Getachew Morel,"65342 Rodriguez Square Apt. 179
Baxterton, AK 96649",getachew.morel@example.com,25377264716,Ethiopian,Éclairagiste,11,Doctorat en {job},Institut de Formation Professionnelle,"Installation, Conception d'éclairage, Technologie, Créativité, Programmation","AWS Certified Solutions Architect (Centre de Formation Technique de Balbala), CFA Level 1 (Institut de Formation Professionnelle)",Amharique (Débutant),"Cuisine, Voyage, Lecture","[""Éclairagiste Senior chez Port de Djibouti (2021-2025): Créativité, Conception d'éclairage, Programmation, Installation, Technologie"", ""Éclairagiste chez Lebon (2019-2021): Conception d'éclairage, Créativité, Technologie, Installation"", 'Éclairagiste Senior chez Collet Evrard SARL (2015-2019): Programmation, Installation', ""Éclairagiste chez Port de Djibouti (2014-2015): Conception d'éclairage, Créativité, Programmation, Technologie, Installation""]","['Christopher Brown, Superviseur, christopher.brown', 'René Mallet Le Valette, Manager, rené.mallet.le.valette']",Anglais,pdf,classic
